,Name,Price,Engine,Mileage,BodyType,FuelType,Transmission,SellerType,City,Description,Link
0,"Kia Rio X-Line, 2018",RUB,1.6 AT (123 л.с.),74 950 км,хетчбэк,бензин,передний,Автодилер,Санкт-Петербург,"В нашем автоцентре Вы можете воспользоваться следующими услугами: Срочный выкуп автомобиля любой марки в течении 30-минут, деньги сразу; Trade-IN (прием автомобиля в зачет стоимости нового или с пробегом); Выкуп кредитных автомобилей, Прием автомобилей на комиссию (помощь в продаже). Оформление кредита, решение в течении 20 минут после подачи заявки; Срок кредитования от 6 до 96 месяцев, с возможностью как полного, так и частичного досрочного погашения, без штрафов и дополнительных комиссий. Выгодное Предложение! Эксклюзивные Условия При Покупке В Кредит! Дополнительная Выгода При Сдаче Вашего Авто! Гарантия Юридической Чистоты Сделки! Первоначальный Взнос От 0%. Кредит По Двум Документам. Цена В Объявлении Указана С Максимально Возможной Скидкой, При Покупки, Автомобиля В Кредит. Всем Нашим Клиентам В Подарок Комплект Шин. Страхование Каско Или Осаго. Регистрация В Гибдд. Полный Бак Бензина. Оплата Проезда ДО Нашего Автоцентра. Предпродажная подготовка — мы исправили все основные недостатки в автомобиле, произвели глубокую химчистку салона и полировку всех кузовных элементов, а также подготовили список рекомендаций по дальнейшей эксплуатации автомобиля. Программа «Техническая Гарантия» — программа предусматривает устранение пост продажных поломок узлов и агрегатов автомобиля и дальнейшего обслуживания в сети наших специализированных сервисных центров. Продажа в кредит — более 15 Банков партнеров и более 52 различных программ, а также специальные скидки при покупки автомобиля с пробегом. Подача заявки осуществляется в автосалоне, либо онлайн, связавшись по телефону с отделом кредитования нашего Автоцентра. Тест-Драйв, приехав в автосалон Freeдом Авто вы всегда можете сделать тест-драйв на любом понравившемся вам автомобиле. Trade In — обмен Вашего авто на автомобиль представленный в нашей компании. При обмене вашего автомобиля, компания Freeдом Авто, также предоставляет дополнительные скидки до 200 000,00 руб. Страхование Каско, Осаго. В нашем автосалоне вы всегда можете осуществить любой вид страхование, в независимость от того приобретен автомобиль у нас или же у сторонних организаций. «Программа лояльности» для постоянных клиентов, наша компания предоставляет гибкую систему скидок и бонусов. Более подробную информацию по наличию автомобилей Вы можете узнать на нашем официальном сайте. Для этого откройте карточку магазина, которая находится под номером телефона, далее переходите в раздел «контакты» и переходите по ссылке. Цена В Объявлении Указана С Максимально Возможной Скидкой, При Покупки, Автомобиля Кредит.","Kia Rio X-Line, 2018"
1,"Volkswagen Polo, 2013",1050000,1.6 MT (105 л.с.),135 850 км,седан,бензин,передний,Автодилер,Санкт-Петербург,"В нашем автоцентре Вы можете воспользоваться следующими услугами: Срочный выкуп автомобиля любой марки в течении 30-минут, деньги сразу; Trade-IN (прием автомобиля в зачет стоимости нового или с пробегом); Выкуп кредитных автомобилей, Прием автомобилей на комиссию (помощь в продаже). Оформление кредита, решение в течении 20 минут после подачи заявки; Срок кредитования от 6 до 96 месяцев, с возможностью как полного, так и частичного досрочного погашения, без штрафов и дополнительных комиссий. Выгодное Предложение! Эксклюзивные Условия При Покупке В Кредит! Дополнительная Выгода При Сдаче Вашего Авто! Гарантия Юридической Чистоты Сделки! Первоначальный Взнос От 0%. Кредит По Двум Документам. Цена В Объявлении Указана С Максимально Возможной Скидкой, При Покупки, Автомобиля В Кредит. Всем Нашим Клиентам В Подарок Комплект Шин. Страхование Каско Или Осаго. Регистрация В Гибдд. Полный Бак Бензина. Оплата Проезда ДО Нашего Автоцентра. Предпродажная подготовка — мы исправили все основные недостатки в автомобиле, произвели глубокую химчистку салона и полировку всех кузовных элементов, а также подготовили список рекомендаций по дальнейшей эксплуатации автомобиля. Программа «Техническая Гарантия» — программа предусматривает устранение пост продажных поломок узлов и агрегатов автомобиля и дальнейшего обслуживания в сети наших специализированных сервисных центров. Продажа в кредит — более 15 Банков партнеров и более 52 различных программ, а также специальные скидки при покупки автомобиля с пробегом. Подача заявки осуществляется в автосалоне, либо онлайн, связавшись по телефону с отделом кредитования нашего Автоцентра. Тест-Драйв, приехав в автосалон Freeдом Авто вы всегда можете сделать тест-драйв на любом понравившемся вам автомобиле. Trade In — обмен Вашего авто на автомобиль представленный в нашей компании. При обмене вашего автомобиля, компания Freeдом Авто, также предоставляет дополнительные скидки до 200 000,00 руб. Страхование Каско, Осаго. В нашем автосалоне вы всегда можете осуществить любой вид страхование, в независимость от того приобретен автомобиль у нас или же у сторонних организаций. «Программа лояльности» для постоянных клиентов, наша компания предоставляет гибкую систему скидок и бонусов. Более подробную информацию по наличию автомобилей Вы можете узнать на нашем официальном сайте. Для этого откройте карточку магазина, которая находится под номером телефона, далее переходите в раздел «контакты» и переходите по ссылке. Цена В Объявлении Указана С Максимально Возможной Скидкой, При Покупки, Автомобиля Кредит.","Volkswagen Polo, 2013"
2,"Nissan Terrano, 2017",RUB,2.0 AT (143 л.с.),62 105 км,внедорожник,бензин,полный,Автодилер,Санкт-Петербург,"В нашем автоцентре Вы можете воспользоваться следующими услугами: Срочный выкуп автомобиля любой марки в течении 30-минут, деньги сразу; Trade-IN (прием автомобиля в зачет стоимости нового или с пробегом); Выкуп кредитных автомобилей, Прием автомобилей на комиссию (помощь в продаже). Оформление кредита, решение в течении 20 минут после подачи заявки; Срок кредитования от 6 до 96 месяцев, с возможностью как полного, так и частичного досрочного погашения, без штрафов и дополнительных комиссий. Выгодное Предложение! Эксклюзивные Условия При Покупке В Кредит! Дополнительная Выгода При Сдаче Вашего Авто! Гарантия Юридической Чистоты Сделки! Первоначальный Взнос От 0%. Кредит По Двум Документам. Цена В Объявлении Указана С Максимально Возможной Скидкой, При Покупки, Автомобиля В Кредит. Всем Нашим Клиентам В Подарок Комплект Шин. Страхование Каско Или Осаго. Регистрация В Гибдд. Полный Бак Бензина. Оплата Проезда ДО Нашего Автоцентра. Предпродажная подготовка — мы исправили все основные недостатки в автомобиле, произвели глубокую химчистку салона и полировку всех кузовных элементов, а также подготовили список рекомендаций по дальнейшей эксплуатации автомобиля. Программа «Техническая Гарантия» — программа предусматривает устранение пост продажных поломок узлов и агрегатов автомобиля и дальнейшего обслуживания в сети наших специализированных сервисных центров. Продажа в кредит — более 15 Банков партнеров и более 52 различных программ, а также специальные скидки при покупки автомобиля с пробегом. Подача заявки осуществляется в автосалоне, либо онлайн, связавшись по телефону с отделом кредитования нашего Автоцентра. Тест-Драйв, приехав в автосалон Freeдом Авто вы всегда можете сделать тест-драйв на любом понравившемся вам автомобиле. Trade In — обмен Вашего авто на автомобиль представленный в нашей компании. При обмене вашего автомобиля, компания Freeдом Авто, также предоставляет дополнительные скидки до 200 000,00 руб. Страхование Каско, Осаго. В нашем автосалоне вы всегда можете осуществить любой вид страхование, в независимость от того приобретен автомобиль у нас или же у сторонних организаций. «Программа лояльности» для постоянных клиентов, наша компания предоставляет гибкую систему скидок и бонусов. Более подробную информацию по наличию автомобилей Вы можете узнать на нашем официальном сайте. Для этого откройте карточку магазина, которая находится под номером телефона, далее переходите в раздел «контакты» и переходите по ссылке. Цена В Объявлении Указана С Максимально Возможной Скидкой, При Покупки, Автомобиля Кредит.","Nissan Terrano, 2017"
3,"Honda Torneo, 1999",445000,2.0 AT (150 л.с.),360 000 км,седан,бензин,передний,Автодилер,"Кемеровская область, Новокузнецкий муниципальный округ, пос. Металлургов","Сел поехал, отличный салон, Sir, заводская музыка с родным сабом Bose, мотор бешенный, коробас листает мягко, кто знает за эти машины тот поймёт что к чему, машина огонь. Цвет белый перламутр! Заводской ксенон! Техника на ура!","Honda Torneo, 1999"
4,"Mitsubishi Outlander, 2019",RUB,2.4 CVT (167 л.с.),75 398 км,внедорожник,бензин,полный,Автодилер,Москва,"Получите дополнительную скидку до 300 000 рублей при покупке автомобиля в кредит! Все автомобили, представленные в продаже, проходят диагностику по более 48 параметрам, с результатами диагностики Вы можете ознакомиться при осмотре автомобиля. Предоставляем гарантию юридической чистоты, а так же год технической гарантии на двигатель и Кпп в письменной форме. Все заявленные автомобили находятся в наличии. Честные цены. Без скрытых комиссий. Дополнительная скидка до 100 000 рублей при покупке, а/м по программе Trade-In (обмен на ваш автомобиль). Дополнительная выгода при покупке автомобиля в кредит от 100 тысяч рублей. *. Преимущества автокредитования: Ставка по кредиту от 4.9% годовых; Первоначальный взнос от 0%; Более 23 кредитных программ; Минимальный пакет документов — паспорт и вод. Удостоверение; Срок кредита от 6 месяцев до 7 лет; Сумма кредита от 60 000 руб. До 3 000 000 рублей; Досрочное погашение без штрафов и комиссий; Каско — необязательно. Для получение предварительного решения по кредиту: 1. Заполните онлайн-заявку на сайте автоцентра — Вам ненужно посещать автосалон; 2. Узнайте решения банков и одобренные программы кредитования; 3. При положительном решении — посетите автосалон. Официальный сайт автоцентра указан в карточке магазина в разделе «Контакты». Второй комплект резины в подарок. Приглашаем на бесплатный тест-драйв Более подробную информацию можно получить по указанному номеру телефона. *-Данные скидки применяются в зависимости от условий покупки. Подробности уточняйте у менеджеров автосалона.","Mitsubishi Outlander, 2019"
5,"Hyundai Tucson, 2017",869000,2.0 AT (150 л.с.),94 040 км,внедорожник,бензин,полный,Автодилер,Санкт-Петербург,"В нашем автоцентре Вы можете воспользоваться следующими услугами: Срочный выкуп автомобиля любой марки в течении 30-минут, деньги сразу; Trade-IN (прием автомобиля в зачет стоимости нового или с пробегом); Выкуп кредитных автомобилей, Прием автомобилей на комиссию (помощь в продаже). Оформление кредита, решение в течении 20 минут после подачи заявки; Срок кредитования от 6 до 96 месяцев, с возможностью как полного, так и частичного досрочного погашения, без штрафов и дополнительных комиссий. Выгодное Предложение! Эксклюзивные Условия При Покупке В Кредит! Дополнительная Выгода При Сдаче Вашего Авто! Гарантия Юридической Чистоты Сделки! Первоначальный Взнос От 0%. Кредит По Двум Документам. Цена В Объявлении Указана С Максимально Возможной Скидкой, При Покупки, Автомобиля В Кредит. Всем Нашим Клиентам В Подарок Комплект Шин. Страхование Каско Или Осаго. Регистрация В Гибдд. Полный Бак Бензина. Оплата Проезда ДО Нашего Автоцентра. Предпродажная подготовка — мы исправили все основные недостатки в автомобиле, произвели глубокую химчистку салона и полировку всех кузовных элементов, а также подготовили список рекомендаций по дальнейшей эксплуатации автомобиля. Программа «Техническая Гарантия» — программа предусматривает устранение пост продажных поломок узлов и агрегатов автомобиля и дальнейшего обслуживания в сети наших специализированных сервисных центров. Продажа в кредит — более 15 Банков партнеров и более 52 различных программ, а также специальные скидки при покупки автомобиля с пробегом. Подача заявки осуществляется в автосалоне, либо онлайн, связавшись по телефону с отделом кредитования нашего Автоцентра. Тест-Драйв, приехав в автосалон Freeдом Авто вы всегда можете сделать тест-драйв на любом понравившемся вам автомобиле. Trade In — обмен Вашего авто на автомобиль представленный в нашей компании. При обмене вашего автомобиля, компания Freeдом Авто, также предоставляет дополнительные скидки до 200 000,00 руб. Страхование Каско, Осаго. В нашем автосалоне вы всегда можете осуществить любой вид страхование, в независимость от того приобретен автомобиль у нас или же у сторонних организаций. «Программа лояльности» для постоянных клиентов, наша компания предоставляет гибкую систему скидок и бонусов. Более подробную информацию по наличию автомобилей Вы можете узнать на нашем официальном сайте. Для этого откройте карточку магазина, которая находится под номером телефона, далее переходите в раздел «контакты» и переходите по ссылке. Цена В Объявлении Указана С Максимально Возможной Скидкой, При Покупки, Автомобиля Кредит.","Hyundai Tucson, 2017"
6,"Hyundai Solaris, 2019",RUB,1.6 AT (123 л.с.),146 228 км,седан,бензин,передний,Автодилер,Санкт-Петербург,"В нашем автоцентре Вы можете воспользоваться следующими услугами: Срочный выкуп автомобиля любой марки в течении 30-минут, деньги сразу; Trade-IN (прием автомобиля в зачет стоимости нового или с пробегом); Выкуп кредитных автомобилей, Прием автомобилей на комиссию (помощь в продаже). Оформление кредита, решение в течении 20 минут после подачи заявки; Срок кредитования от 6 до 96 месяцев, с возможностью как полного, так и частичного досрочного погашения, без штрафов и дополнительных комиссий. Выгодное Предложение! Эксклюзивные Условия При Покупке В Кредит! Дополнительная Выгода При Сдаче Вашего Авто! Гарантия Юридической Чистоты Сделки! Первоначальный Взнос От 0%. Кредит По Двум Документам. Цена В Объявлении Указана С Максимально Возможной Скидкой, При Покупки, Автомобиля В Кредит. Всем Нашим Клиентам В Подарок Комплект Шин. Страхование Каско Или Осаго. Регистрация В Гибдд. Полный Бак Бензина. Оплата Проезда ДО Нашего Автоцентра. Предпродажная подготовка — мы исправили все основные недостатки в автомобиле, произвели глубокую химчистку салона и полировку всех кузовных элементов, а также подготовили список рекомендаций по дальнейшей эксплуатации автомобиля. Программа «Техническая Гарантия» — программа предусматривает устранение пост продажных поломок узлов и агрегатов автомобиля и дальнейшего обслуживания в сети наших специализированных сервисных центров. Продажа в кредит — более 15 Банков партнеров и более 52 различных программ, а также специальные скидки при покупки автомобиля с пробегом. Подача заявки осуществляется в автосалоне, либо онлайн, связавшись по телефону с отделом кредитования нашего Автоцентра. Тест-Драйв, приехав в автосалон Freeдом Авто вы всегда можете сделать тест-драйв на любом понравившемся вам автомобиле. Trade In — обмен Вашего авто на автомобиль представленный в нашей компании. При обмене вашего автомобиля, компания Freeдом Авто, также предоставляет дополнительные скидки до 200 000,00 руб. Страхование Каско, Осаго. В нашем автосалоне вы всегда можете осуществить любой вид страхование, в независимость от того приобретен автомобиль у нас или же у сторонних организаций. «Программа лояльности» для постоянных клиентов, наша компания предоставляет гибкую систему скидок и бонусов. Более подробную информацию по наличию автомобилей Вы можете узнать на нашем официальном сайте. Для этого откройте карточку магазина, которая находится под номером телефона, далее переходите в раздел «контакты» и переходите по ссылке. Цена В Объявлении Указана С Максимально Возможной Скидкой, При Покупки, Автомобиля Кредит.","Hyundai Solaris, 2019"
7,"Hyundai Creta, 2018",445000,1.6 AT (121 л.с.),86 603 км,внедорожник,бензин,полный,Автодилер,Санкт-Петербург,"В нашем автоцентре Вы можете воспользоваться следующими услугами: Срочный выкуп автомобиля любой марки в течении 30-минут, деньги сразу; Trade-IN (прием автомобиля в зачет стоимости нового или с пробегом); Выкуп кредитных автомобилей, Прием автомобилей на комиссию (помощь в продаже). Оформление кредита, решение в течении 20 минут после подачи заявки; Срок кредитования от 6 до 96 месяцев, с возможностью как полного, так и частичного досрочного погашения, без штрафов и дополнительных комиссий. Выгодное Предложение! Эксклюзивные Условия При Покупке В Кредит! Дополнительная Выгода При Сдаче Вашего Авто! Гарантия Юридической Чистоты Сделки! Первоначальный Взнос От 0%. Кредит По Двум Документам. Цена В Объявлении Указана С Максимально Возможной Скидкой, При Покупки, Автомобиля В Кредит. Всем Нашим Клиентам В Подарок Комплект Шин. Страхование Каско Или Осаго. Регистрация В Гибдд. Полный Бак Бензина. Оплата Проезда ДО Нашего Автоцентра. Предпродажная подготовка — мы исправили все основные недостатки в автомобиле, произвели глубокую химчистку салона и полировку всех кузовных элементов, а также подготовили список рекомендаций по дальнейшей эксплуатации автомобиля. Программа «Техническая Гарантия» — программа предусматривает устранение пост продажных поломок узлов и агрегатов автомобиля и дальнейшего обслуживания в сети наших специализированных сервисных центров. Продажа в кредит — более 15 Банков партнеров и более 52 различных программ, а также специальные скидки при покупки автомобиля с пробегом. Подача заявки осуществляется в автосалоне, либо онлайн, связавшись по телефону с отделом кредитования нашего Автоцентра. Тест-Драйв, приехав в автосалон Freeдом Авто вы всегда можете сделать тест-драйв на любом понравившемся вам автомобиле. Trade In — обмен Вашего авто на автомобиль представленный в нашей компании. При обмене вашего автомобиля, компания Freeдом Авто, также предоставляет дополнительные скидки до 200 000,00 руб. Страхование Каско, Осаго. В нашем автосалоне вы всегда можете осуществить любой вид страхование, в независимость от того приобретен автомобиль у нас или же у сторонних организаций. «Программа лояльности» для постоянных клиентов, наша компания предоставляет гибкую систему скидок и бонусов. Более подробную информацию по наличию автомобилей Вы можете узнать на нашем официальном сайте. Для этого откройте карточку магазина, которая находится под номером телефона, далее переходите в раздел «контакты» и переходите по ссылке. Цена В Объявлении Указана С Максимально Возможной Скидкой, При Покупки, Автомобиля Кредит.","Hyundai Creta, 2018"
8,"Renault Duster, 2013",RUB,2.0 AT (135 л.с.),157 000 км,внедорожник,бензин,передний,Автодилер,Москва,"При покупке автомобиля по программе Trade-In (обмен на ваш автомобиль) дополнительная скидка до 80 000 рублей и до 100 000 рублей при покупке автомобиля в кредит! Все автомобили, представленные в продаже, проходят диагностику по более 48 параметрам, с результатами диагностики Вы можете ознакомиться при осмотре автомобиля. Преимущества автокредитования: — Ставка по кредиту от 4,9% годовых; — Первоначальный взнос от 0%; — Более 23 кредитных программ; — Минимальный пакет документов — паспорт и водительское удостоверение; — Срок кредита от 6 месяцев до 7 лет; — Сумма кредита от 50 000 руб. До 3 000 000 рублей; — Досрочное погашение без штрафов и комиссий; — Каско — необязательно. Комплект Зимней (Летней) Резины По Сезону В Подарок! Рассрочка На Автомобили С Пробегом От Банка Без %. Срок: 12-18 Месяцев. Первоначальный Взнос: От 0%. Сумма Рассрочки: От 90 т. Р. До 4,9 млн. Р. Гарантия на автомобили различных марок сроком на 1 Год при общем пробеге до 150 000 км. -Двигатель (бензиновый или дизельный). -Механическая коробка передач. -Автоматическая коробка передач. -Роботизированная коробка передач. -Вариатор. -Раздаточная коробка. -Редуктор заднего моста. -Редуктор переднего моста. -Радиатор системы охлаждения. -Радиатор кондиционера. Дополнительные комиссии отсутствуют. Комфортные условия выбора: бесплатный Wi-Fi, уютное кафе с клиентской зоной, большая и удобная парковка. Выберите подходящий автомобиль и совершите выгодную покупку в течение 1 дня! Аргументированный Торг Уместен Только При Осмотре! Приглашаем Вас На Бесплатный Тест-Драйв! Ждем Вас ежедневно без выходных с 9:00 до 20:00. 2-й Вязовский проезд 12с1.","Renault Duster, 2013"
9,"Volkswagen Passat, 2011",2249000,1.8 AMT (152 л.с.),187 000 км,седан,бензин,передний,Автодилер,Санкт-Петербург,"Продаю автомобиль в действительно хорошем состоянии, приобретали автомобиль у своих друзей, все доказательства для особо мнительных предоставим) год ездила супруга, последние пол года я, машину обслуживали каждые 8-9 тысяч, с последнего ТО висит шильдик от сервиса. При покупке моментально установили премиальные чехлы «Бразерс Тютинг» за 25 т. Р. Салон в состоянии близко к идеальному. Единственный явный косяк «трещина на лобовом от камня» скину на его замену. Спешки нет. Просмотр «Выборгский/Приморский/Петроградский район», ночует авто в подземном паркинге. Серьёзных ремонтов, вытягиваний, выпрямлений, шпаклеваний не было. Два ключа, Птс оригинал.","Volkswagen Passat, 2011"
